
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,17-Apr-2021,Creation_Time,18:04:17,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_if
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.000000e+2,-8.738071e+1
-9.900000e+1,-8.664579e+1
-9.800000e+1,-8.591694e+1
-9.700000e+1,-8.515210e+1
-9.600000e+1,-8.436244e+1
-9.500000e+1,-8.351244e+1
-9.400000e+1,-8.265958e+1
-9.300000e+1,-8.180471e+1
-9.200000e+1,-8.093772e+1
-9.100000e+1,-8.006825e+1
-9.000000e+1,-7.919085e+1
-8.900000e+1,-7.828495e+1
-8.800000e+1,-7.736857e+1
-8.700000e+1,-7.644380e+1
-8.600000e+1,-7.550336e+1
-8.500000e+1,-7.456203e+1
-8.400000e+1,-7.361451e+1
-8.300000e+1,-7.266556e+1
-8.200000e+1,-7.171134e+1
-8.100000e+1,-7.074838e+1
-8.000000e+1,-6.978133e+1
-7.900000e+1,-6.880875e+1
-7.800000e+1,-6.783483e+1
-7.700000e+1,-6.686275e+1
-7.600000e+1,-6.588417e+1
-7.500000e+1,-6.490256e+1
-7.400000e+1,-6.391754e+1
-7.300000e+1,-6.293164e+1
-7.200000e+1,-6.194889e+1
-7.100000e+1,-6.096070e+1
-7.000000e+1,-5.997105e+1
-6.900000e+1,-5.898018e+1
-6.800000e+1,-5.799036e+1
-6.700000e+1,-5.699759e+1
-6.600000e+1,-5.600395e+1
-6.500000e+1,-5.501103e+1
-6.400000e+1,-5.401604e+1
-6.300000e+1,-5.302132e+1
-6.200000e+1,-5.202544e+1
-6.100000e+1,-5.102914e+1
-6.000000e+1,-5.003249e+1
-5.900000e+1,-4.903517e+1
-5.800000e+1,-4.803769e+1
-5.700000e+1,-4.704017e+1
-5.600000e+1,-4.604249e+1
-5.500000e+1,-4.504425e+1
-5.400000e+1,-4.404659e+1
-5.300000e+1,-4.304756e+1
-5.200000e+1,-4.204839e+1
-5.100000e+1,-4.104880e+1
-5.000000e+1,-4.004865e+1
-4.900000e+1,-3.904796e+1
-4.800000e+1,-3.804671e+1
-4.700000e+1,-3.704438e+1
-4.600000e+1,-3.603846e+1
-4.500000e+1,-3.502702e+1
-4.400000e+1,-3.401190e+1
-4.300000e+1,-3.299661e+1
-4.200000e+1,-3.198142e+1
-4.100000e+1,-3.096743e+1
-4.000000e+1,-2.995622e+1
-3.900000e+1,-2.895073e+1
-3.800000e+1,-2.795308e+1
-3.700000e+1,-2.696467e+1
-3.600000e+1,-2.598688e+1
-3.500000e+1,-2.502054e+1
-3.400000e+1,-2.406805e+1
-3.300000e+1,-2.313175e+1
-3.200000e+1,-2.221662e+1
-3.100000e+1,-2.132895e+1
-3.000000e+1,-2.047679e+1
-2.900000e+1,-1.967280e+1
-2.800000e+1,-1.893918e+1
-2.700000e+1,-1.828809e+1
-2.600000e+1,-1.771502e+1
-2.500000e+1,-1.720507e+1
-2.400000e+1,-1.673020e+1
-2.300000e+1,-1.627617e+1
-2.200000e+1,-1.583679e+1
-2.100000e+1,-1.540158e+1
-2.000000e+1,-1.497365e+1
-1.900000e+1,-1.456604e+1
-1.800000e+1,-1.418797e+1
-1.700000e+1,-1.383096e+1
-1.600000e+1,-1.348842e+1
-1.500000e+1,-1.317289e+1
-1.400000e+1,-1.291270e+1
-1.300000e+1,-1.272257e+1
-1.200000e+1,-1.258576e+1
-1.100000e+1,-1.247852e+1
-1.000000e+1,-1.238615e+1
-9.000000e+0,-1.231028e+1
-8.000000e+0,-1.225036e+1
-7.000000e+0,-1.221609e+1
-6.000000e+0,-1.222413e+1
-5.000000e+0,-1.234838e+1
-4.000000e+0,-1.253586e+1
-3.000000e+0,-1.255909e+1
-2.000000e+0,-1.251648e+1
-1.000000e+0,-1.267949e+1
0.000000e+0,-1.255157e+1

