
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,17-Apr-2021,Creation_Time,18:04:17,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.000000e+2,-5.646451e+1
-9.900000e+1,-5.190319e+1
-9.800000e+1,-5.177226e+1
-9.700000e+1,-5.090354e+1
-9.600000e+1,-4.999488e+1
-9.500000e+1,-4.934955e+1
-9.400000e+1,-4.844535e+1
-9.300000e+1,-4.751565e+1
-9.200000e+1,-4.657964e+1
-9.100000e+1,-4.536045e+1
-9.000000e+1,-4.441878e+1
-8.900000e+1,-4.346770e+1
-8.800000e+1,-4.251123e+1
-8.700000e+1,-4.169438e+1
-8.600000e+1,-4.073773e+1
-8.500000e+1,-3.977017e+1
-8.400000e+1,-3.880219e+1
-8.300000e+1,-3.761084e+1
-8.200000e+1,-3.663546e+1
-8.100000e+1,-3.566101e+1
-8.000000e+1,-3.474558e+1
-7.900000e+1,-3.376412e+1
-7.800000e+1,-3.278313e+1
-7.700000e+1,-3.020537e+1
-7.600000e+1,-2.926958e+1
-7.500000e+1,-2.881062e+1
-7.400000e+1,-2.840163e+1
-7.300000e+1,-2.766612e+1
-7.200000e+1,-2.886860e+1
-7.100000e+1,-2.889454e+1
-7.000000e+1,-2.860740e+1
-6.900000e+1,-2.773868e+1
-6.800000e+1,-2.669142e+1
-6.700000e+1,-2.517554e+1
-6.600000e+1,-2.403787e+1
-6.500000e+1,-2.282318e+1
-6.400000e+1,-2.144465e+1
-6.300000e+1,-2.035162e+1
-6.200000e+1,-1.959519e+1
-6.100000e+1,-1.897778e+1
-6.000000e+1,-1.856785e+1
-5.900000e+1,-1.818344e+1
-5.800000e+1,-1.851473e+1
-5.700000e+1,-1.854295e+1
-5.600000e+1,-1.880013e+1
-5.500000e+1,-1.907524e+1
-5.400000e+1,-1.941282e+1
-5.300000e+1,-1.952937e+1
-5.200000e+1,-1.954585e+1
-5.100000e+1,-1.964177e+1
-5.000000e+1,-1.970739e+1
-4.900000e+1,-1.975203e+1
-4.800000e+1,-1.979645e+1
-4.700000e+1,-1.996779e+1
-4.600000e+1,-2.034352e+1
-4.500000e+1,-2.080163e+1
-4.400000e+1,-2.115183e+1
-4.300000e+1,-2.132914e+1
-4.200000e+1,-2.137803e+1
-4.100000e+1,-2.132727e+1
-4.000000e+1,-2.123434e+1
-3.900000e+1,-2.108576e+1
-3.800000e+1,-2.087236e+1
-3.700000e+1,-2.059201e+1
-3.600000e+1,-2.024653e+1
-3.500000e+1,-1.984886e+1
-3.400000e+1,-1.941339e+1
-3.300000e+1,-1.897435e+1
-3.200000e+1,-1.859452e+1
-3.100000e+1,-1.832128e+1
-3.000000e+1,-1.817328e+1
-2.900000e+1,-1.814640e+1
-2.800000e+1,-1.819782e+1
-2.700000e+1,-1.822610e+1
-2.600000e+1,-1.813820e+1
-2.500000e+1,-1.791816e+1
-2.400000e+1,-1.756856e+1
-2.300000e+1,-1.714182e+1
-2.200000e+1,-1.669759e+1
-2.100000e+1,-1.623523e+1
-2.000000e+1,-1.572436e+1
-1.900000e+1,-1.515358e+1
-1.800000e+1,-1.453643e+1
-1.700000e+1,-1.388026e+1
-1.600000e+1,-1.319565e+1
-1.500000e+1,-1.251331e+1
-1.400000e+1,-1.184519e+1
-1.300000e+1,-1.117279e+1
-1.200000e+1,-1.045642e+1
-1.100000e+1,-9.699569e+0
-1.000000e+1,-8.920704e+0
-9.000000e+0,-8.112931e+0
-8.000000e+0,-7.291786e+0
-7.000000e+0,-6.452843e+0
-6.000000e+0,-5.536399e+0
-5.000000e+0,-4.382902e+0
-4.000000e+0,-2.714658e+0
-3.000000e+0,-2.432760e-1
-2.000000e+0,1.902743e+0
-1.000000e+0,2.356497e+0
0.000000e+0,2.063473e+0

