
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,17-Apr-2021,Creation_Time,18:04:17,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.000000e+2,-1.747978e+2
-9.900000e+1,-1.811679e+2
-9.800000e+1,-1.787129e+2
-9.700000e+1,-1.776834e+2
-9.600000e+1,-1.767103e+2
-9.500000e+1,-1.751462e+2
-9.400000e+1,-1.741106e+2
-9.300000e+1,-1.731167e+2
-9.200000e+1,-1.721214e+2
-9.100000e+1,-1.716932e+2
-9.000000e+1,-1.707032e+2
-8.900000e+1,-1.696994e+2
-8.800000e+1,-1.686959e+2
-8.700000e+1,-1.673977e+2
-8.600000e+1,-1.663733e+2
-8.500000e+1,-1.653672e+2
-8.400000e+1,-1.643557e+2
-8.300000e+1,-1.637900e+2
-8.200000e+1,-1.627869e+2
-8.100000e+1,-1.617729e+2
-8.000000e+1,-1.606353e+2
-7.900000e+1,-1.596265e+2
-7.800000e+1,-1.586145e+2
-7.700000e+1,-1.607981e+2
-7.600000e+1,-1.596911e+2
-7.500000e+1,-1.576274e+2
-7.400000e+1,-1.554601e+2
-7.300000e+1,-1.539454e+2
-7.200000e+1,-1.485578e+2
-7.100000e+1,-1.455177e+2
-7.000000e+1,-1.431023e+2
-6.900000e+1,-1.418489e+2
-6.800000e+1,-1.409536e+2
-6.700000e+1,-1.409926e+2
-6.600000e+1,-1.402743e+2
-6.500000e+1,-1.397108e+2
-6.400000e+1,-1.394728e+2
-6.300000e+1,-1.386642e+2
-6.200000e+1,-1.371812e+2
-6.100000e+1,-1.354197e+2
-6.000000e+1,-1.332429e+2
-5.900000e+1,-1.310144e+2
-5.800000e+1,-1.273544e+2
-5.700000e+1,-1.243005e+2
-5.600000e+1,-1.207885e+2
-5.500000e+1,-1.172400e+2
-5.400000e+1,-1.135673e+2
-5.300000e+1,-1.103351e+2
-5.200000e+1,-1.073029e+2
-5.100000e+1,-1.041111e+2
-5.000000e+1,-1.009793e+2
-4.900000e+1,-9.788865e+1
-4.800000e+1,-9.479777e+1
-4.700000e+1,-9.145163e+1
-4.600000e+1,-8.769206e+1
-4.500000e+1,-8.376060e+1
-4.400000e+1,-8.004032e+1
-4.300000e+1,-7.666546e+1
-4.200000e+1,-7.354734e+1
-4.100000e+1,-7.062965e+1
-4.000000e+1,-6.779950e+1
-3.900000e+1,-6.508710e+1
-3.800000e+1,-6.251308e+1
-3.700000e+1,-6.008332e+1
-3.600000e+1,-5.779570e+1
-3.500000e+1,-5.562521e+1
-3.400000e+1,-5.354571e+1
-3.300000e+1,-5.149133e+1
-3.200000e+1,-4.934195e+1
-3.100000e+1,-4.700965e+1
-3.000000e+1,-4.446579e+1
-2.900000e+1,-4.173198e+1
-2.800000e+1,-3.891689e+1
-2.700000e+1,-3.623651e+1
-2.600000e+1,-3.387370e+1
-2.500000e+1,-3.184750e+1
-2.400000e+1,-3.012791e+1
-2.300000e+1,-2.860080e+1
-2.200000e+1,-2.714737e+1
-2.100000e+1,-2.576572e+1
-2.000000e+1,-2.452599e+1
-1.900000e+1,-2.346753e+1
-1.800000e+1,-2.257179e+1
-1.700000e+1,-2.181063e+1
-1.600000e+1,-2.115001e+1
-1.500000e+1,-2.053652e+1
-1.400000e+1,-1.997064e+1
-1.300000e+1,-1.949409e+1
-1.200000e+1,-1.914855e+1
-1.100000e+1,-1.888439e+1
-1.000000e+1,-1.865316e+1
-9.000000e+0,-1.848484e+1
-8.000000e+0,-1.835369e+1
-7.000000e+0,-1.826286e+1
-6.000000e+0,-1.830509e+1
-5.000000e+0,-1.880538e+1
-4.000000e+0,-2.019212e+1
-3.000000e+0,-2.287823e+1
-2.000000e+0,-2.485148e+1
-1.000000e+0,-2.374022e+1
0.000000e+0,-2.091916e+1

