
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,17-Apr-2021,Creation_Time,18:04:17,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.000000e+2,-1.001730e+2
-9.900000e+1,-9.916425e+1
-9.800000e+1,-9.817021e+1
-9.700000e+1,-9.716917e+1
-9.600000e+1,-9.616880e+1
-9.500000e+1,-9.516643e+1
-9.400000e+1,-9.417084e+1
-9.300000e+1,-9.317162e+1
-9.200000e+1,-9.217145e+1
-9.100000e+1,-9.117291e+1
-9.000000e+1,-9.017495e+1
-8.900000e+1,-8.917491e+1
-8.800000e+1,-8.817491e+1
-8.700000e+1,-8.717131e+1
-8.600000e+1,-8.617270e+1
-8.500000e+1,-8.517278e+1
-8.400000e+1,-8.417276e+1
-8.300000e+1,-8.317305e+1
-8.200000e+1,-8.217325e+1
-8.100000e+1,-8.117325e+1
-8.000000e+1,-8.017259e+1
-7.900000e+1,-7.917297e+1
-7.800000e+1,-7.817298e+1
-7.700000e+1,-7.717304e+1
-7.600000e+1,-7.617306e+1
-7.500000e+1,-7.517306e+1
-7.400000e+1,-7.417293e+1
-7.300000e+1,-7.317302e+1
-7.200000e+1,-7.217304e+1
-7.100000e+1,-7.117304e+1
-7.000000e+1,-7.017304e+1
-6.900000e+1,-6.917304e+1
-6.800000e+1,-6.817304e+1
-6.700000e+1,-6.717304e+1
-6.600000e+1,-6.617304e+1
-6.500000e+1,-6.517304e+1
-6.400000e+1,-6.417305e+1
-6.300000e+1,-6.317305e+1
-6.200000e+1,-6.217306e+1
-6.100000e+1,-6.117306e+1
-6.000000e+1,-6.017307e+1
-5.900000e+1,-5.917308e+1
-5.800000e+1,-5.817309e+1
-5.700000e+1,-5.717310e+1
-5.600000e+1,-5.617312e+1
-5.500000e+1,-5.517314e+1
-5.400000e+1,-5.417316e+1
-5.300000e+1,-5.317316e+1
-5.200000e+1,-5.217308e+1
-5.100000e+1,-5.117293e+1
-5.000000e+1,-5.017270e+1
-4.900000e+1,-4.917238e+1
-4.800000e+1,-4.817198e+1
-4.700000e+1,-4.717142e+1
-4.600000e+1,-4.617032e+1
-4.500000e+1,-4.516842e+1
-4.400000e+1,-4.416604e+1
-4.300000e+1,-4.316357e+1
-4.200000e+1,-4.216099e+1
-4.100000e+1,-4.115839e+1
-4.000000e+1,-4.015598e+1
-3.900000e+1,-3.915394e+1
-3.800000e+1,-3.815236e+1
-3.700000e+1,-3.715134e+1
-3.600000e+1,-3.615094e+1
-3.500000e+1,-3.515120e+1
-3.400000e+1,-3.415222e+1
-3.300000e+1,-3.315414e+1
-3.200000e+1,-3.215719e+1
-3.100000e+1,-3.116163e+1
-3.000000e+1,-3.016777e+1
-2.900000e+1,-2.917599e+1
-2.800000e+1,-2.818668e+1
-2.700000e+1,-2.720031e+1
-2.600000e+1,-2.621754e+1
-2.500000e+1,-2.523937e+1
-2.400000e+1,-2.426741e+1
-2.300000e+1,-2.330414e+1
-2.200000e+1,-2.235288e+1
-2.100000e+1,-2.141730e+1
-2.000000e+1,-2.050053e+1
-1.900000e+1,-1.960433e+1
-1.800000e+1,-1.872834e+1
-1.700000e+1,-1.787010e+1
-1.600000e+1,-1.702644e+1
-1.500000e+1,-1.619512e+1
-1.400000e+1,-1.537417e+1
-1.300000e+1,-1.455856e+1
-1.200000e+1,-1.373782e+1
-1.100000e+1,-1.290250e+1
-1.000000e+1,-1.205421e+1
-9.000000e+0,-1.120021e+1
-8.000000e+0,-1.034345e+1
-7.000000e+0,-9.476226e+0
-6.000000e+0,-8.576880e+0
-5.000000e+0,-7.611405e+0
-4.000000e+0,-6.542790e+0
-3.000000e+0,-5.402847e+0
-2.000000e+0,-4.264754e+0
-1.000000e+0,-3.173871e+0
0.000000e+0,-2.120326e+0

