
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-4.000000e+1,-2.007264e+2
-3.950000e+1,-2.002264e+2
-3.900000e+1,-1.997264e+2
-3.850000e+1,-1.992264e+2
-3.800000e+1,-1.987264e+2
-3.750000e+1,-1.982264e+2
-3.700000e+1,-1.977264e+2
-3.650000e+1,-1.972264e+2
-3.600000e+1,-1.967264e+2
-3.550000e+1,-1.962264e+2
-3.500000e+1,-1.957264e+2
-3.450000e+1,-1.952264e+2
-3.400000e+1,-1.947264e+2
-3.350000e+1,-1.942264e+2
-3.300000e+1,-1.937264e+2
-3.250000e+1,-1.932264e+2
-3.200000e+1,-1.927264e+2
-3.150000e+1,-1.922264e+2
-3.100000e+1,-1.917264e+2
-3.050000e+1,-1.912264e+2
-3.000000e+1,-1.907264e+2
-2.950000e+1,-1.902264e+2
-2.900000e+1,-1.897264e+2
-2.850000e+1,-1.892264e+2
-2.800000e+1,-1.887264e+2
-2.750000e+1,-1.882264e+2
-2.700000e+1,-1.877264e+2
-2.650000e+1,-1.872264e+2
-2.600000e+1,-1.867264e+2
-2.550000e+1,-1.862264e+2
-2.500000e+1,-1.857264e+2
-2.450000e+1,-1.852264e+2
-2.400000e+1,-1.847264e+2
-2.350000e+1,-1.842264e+2
-2.300000e+1,-1.837264e+2
-2.250000e+1,-1.832264e+2
-2.200000e+1,-1.827264e+2
-2.150000e+1,-1.822264e+2
-2.100000e+1,-1.817264e+2
-2.050000e+1,-1.812264e+2
-2.000000e+1,-1.807264e+2
-1.950000e+1,-1.802264e+2
-1.900000e+1,-1.797264e+2
-1.850000e+1,-1.792264e+2
-1.800000e+1,-1.787264e+2
-1.750000e+1,-1.782264e+2
-1.700000e+1,-1.777264e+2
-1.650000e+1,-1.772264e+2
-1.600000e+1,-1.767264e+2
-1.550000e+1,-1.762264e+2
-1.500000e+1,-1.757264e+2
-1.450000e+1,-1.752264e+2
-1.400000e+1,-1.747264e+2
-1.350000e+1,-1.742264e+2
-1.300000e+1,-1.737264e+2
-1.250000e+1,-1.732264e+2
-1.200000e+1,-1.727264e+2
-1.150000e+1,-1.722264e+2
-1.100000e+1,-1.717264e+2
-1.050000e+1,-1.712264e+2
-1.000000e+1,-1.707264e+2
-9.500000e+0,-1.702264e+2
-9.000000e+0,-1.697264e+2
-8.500000e+0,-1.692264e+2
-8.000000e+0,-1.687264e+2
-7.500000e+0,-1.682264e+2
-7.000000e+0,-1.677264e+2
-6.500000e+0,-1.672264e+2
-6.000000e+0,-1.667264e+2
-5.500000e+0,-1.662264e+2
-5.000000e+0,-1.657264e+2
-4.500000e+0,-1.652264e+2
-4.000000e+0,-1.647264e+2
