
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-3.000000e+2,-3.001280e+2
-2.990000e+2,-2.990352e+2
-2.980000e+2,-2.980469e+2
-2.970000e+2,-2.970452e+2
-2.960000e+2,-2.960439e+2
-2.950000e+2,-2.950410e+2
-2.940000e+2,-2.940446e+2
-2.930000e+2,-2.930493e+2
-2.920000e+2,-2.920565e+2
-2.910000e+2,-2.910634e+2
-2.900000e+2,-2.900696e+2
-2.890000e+2,-2.890672e+2
-2.880000e+2,-2.880733e+2
-2.870000e+2,-2.870792e+2
-2.860000e+2,-2.860835e+2
-2.850000e+2,-2.850870e+2
-2.840000e+2,-2.840965e+2
-2.830000e+2,-2.831067e+2
-2.820000e+2,-2.821103e+2
-2.810000e+2,-2.811136e+2
-2.800000e+2,-2.801154e+2
-2.790000e+2,-2.791179e+2
-2.780000e+2,-2.781201e+2
-2.770000e+2,-2.771228e+2
-2.760000e+2,-2.761257e+2
-2.750000e+2,-2.751237e+2
-2.740000e+2,-2.741222e+2
-2.730000e+2,-2.731235e+2
-2.720000e+2,-2.721234e+2
-2.710000e+2,-2.711233e+2
-2.700000e+2,-2.701244e+2
-2.690000e+2,-2.691234e+2
-2.680000e+2,-2.681223e+2
-2.670000e+2,-2.671221e+2
-2.660000e+2,-2.661218e+2
-2.650000e+2,-2.651216e+2
-2.640000e+2,-2.641215e+2
-2.630000e+2,-2.631215e+2
-2.620000e+2,-2.621217e+2
-2.610000e+2,-2.611219e+2
-2.600000e+2,-2.601215e+2
-2.590000e+2,-2.591217e+2
-2.580000e+2,-2.581215e+2
-2.570000e+2,-2.571215e+2
-2.560000e+2,-2.561215e+2
-2.550000e+2,-2.551215e+2
-2.540000e+2,-2.541214e+2
-2.530000e+2,-2.531213e+2
-2.520000e+2,-2.521213e+2
-2.510000e+2,-2.511213e+2
-2.500000e+2,-2.501213e+2
-2.490000e+2,-2.491213e+2
-2.480000e+2,-2.481213e+2
-2.470000e+2,-2.471213e+2
-2.460000e+2,-2.461213e+2
-2.450000e+2,-2.451212e+2
-2.440000e+2,-2.441213e+2
-2.430000e+2,-2.431213e+2
-2.420000e+2,-2.421213e+2
-2.410000e+2,-2.411213e+2
-2.400000e+2,-2.401213e+2
-2.390000e+2,-2.391213e+2
-2.380000e+2,-2.381213e+2
-2.370000e+2,-2.371213e+2
-2.360000e+2,-2.361213e+2
-2.350000e+2,-2.351213e+2
-2.340000e+2,-2.341213e+2
-2.330000e+2,-2.331213e+2
-2.320000e+2,-2.321213e+2
-2.310000e+2,-2.311213e+2
-2.300000e+2,-2.301213e+2
-2.290000e+2,-2.291213e+2
-2.280000e+2,-2.281213e+2
