
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,gain1
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-4.000000e+1,-1.780784e+2
-3.950000e+1,-1.775784e+2
-3.900000e+1,-1.770784e+2
-3.850000e+1,-1.765784e+2
-3.800000e+1,-1.760784e+2
-3.750000e+1,-1.755784e+2
-3.700000e+1,-1.750784e+2
-3.650000e+1,-1.745784e+2
-3.600000e+1,-1.740784e+2
-3.550000e+1,-1.735784e+2
-3.500000e+1,-1.730784e+2
-3.450000e+1,-1.725784e+2
-3.400000e+1,-1.720784e+2
-3.350000e+1,-1.715784e+2
-3.300000e+1,-1.710784e+2
-3.250000e+1,-1.705784e+2
-3.200000e+1,-1.700784e+2
-3.150000e+1,-1.695784e+2
-3.100000e+1,-1.690784e+2
-3.050000e+1,-1.685784e+2
-3.000000e+1,-1.680784e+2
-2.950000e+1,-1.675784e+2
-2.900000e+1,-1.670784e+2
-2.850000e+1,-1.665784e+2
-2.800000e+1,-1.660784e+2
-2.750000e+1,-1.655784e+2
-2.700000e+1,-1.650784e+2
-2.650000e+1,-1.645784e+2
-2.600000e+1,-1.640784e+2
-2.550000e+1,-1.635784e+2
-2.500000e+1,-1.630784e+2
-2.450000e+1,-1.625784e+2
-2.400000e+1,-1.620784e+2
-2.350000e+1,-1.615784e+2
-2.300000e+1,-1.610784e+2
-2.250000e+1,-1.605784e+2
-2.200000e+1,-1.600784e+2
-2.150000e+1,-1.595784e+2
-2.100000e+1,-1.590784e+2
-2.050000e+1,-1.585784e+2
-2.000000e+1,-1.580784e+2
-1.950000e+1,-1.575784e+2
-1.900000e+1,-1.570784e+2
-1.850000e+1,-1.565784e+2
-1.800000e+1,-1.560784e+2
-1.750000e+1,-1.555784e+2
-1.700000e+1,-1.550784e+2
-1.650000e+1,-1.545784e+2
-1.600000e+1,-1.540784e+2
-1.550000e+1,-1.535784e+2
-1.500000e+1,-1.530784e+2
-1.450000e+1,-1.525784e+2
-1.400000e+1,-1.520784e+2
-1.350000e+1,-1.515784e+2
-1.300000e+1,-1.510784e+2
-1.250000e+1,-1.505784e+2
-1.200000e+1,-1.500784e+2
-1.150000e+1,-1.495784e+2
-1.100000e+1,-1.490784e+2
-1.050000e+1,-1.485784e+2
-1.000000e+1,-1.480784e+2
-9.500000e+0,-1.475784e+2
-9.000000e+0,-1.470784e+2
-8.500000e+0,-1.465784e+2
-8.000000e+0,-1.460784e+2
-7.500000e+0,-1.455784e+2
-7.000000e+0,-1.450784e+2
-6.500000e+0,-1.445784e+2
-6.000000e+0,-1.440784e+2
-5.500000e+0,-1.435784e+2
-5.000000e+0,-1.430784e+2
-4.500000e+0,-1.425784e+2
-4.000000e+0,-1.420784e+2
