
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,gain1
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-3.000000e+2,-2.795472e+2
-2.990000e+2,-2.791772e+2
-2.980000e+2,-2.783101e+2
-2.970000e+2,-2.772762e+2
-2.960000e+2,-2.762715e+2
-2.950000e+2,-2.752311e+2
-2.940000e+2,-2.740936e+2
-2.930000e+2,-2.730303e+2
-2.920000e+2,-2.719784e+2
-2.910000e+2,-2.710059e+2
-2.900000e+2,-2.700179e+2
-2.890000e+2,-2.690012e+2
-2.880000e+2,-2.680545e+2
-2.870000e+2,-2.671463e+2
-2.860000e+2,-2.662367e+2
-2.850000e+2,-2.653015e+2
-2.840000e+2,-2.643503e+2
-2.830000e+2,-2.633913e+2
-2.820000e+2,-2.624063e+2
-2.810000e+2,-2.614340e+2
-2.800000e+2,-2.604555e+2
-2.790000e+2,-2.594726e+2
-2.780000e+2,-2.584820e+2
-2.770000e+2,-2.575084e+2
-2.760000e+2,-2.565158e+2
-2.750000e+2,-2.555079e+2
-2.740000e+2,-2.544951e+2
-2.730000e+2,-2.535079e+2
-2.720000e+2,-2.525069e+2
-2.710000e+2,-2.515030e+2
-2.700000e+2,-2.505112e+2
-2.690000e+2,-2.495036e+2
-2.680000e+2,-2.484965e+2
-2.670000e+2,-2.474916e+2
-2.660000e+2,-2.464909e+2
-2.650000e+2,-2.454900e+2
-2.640000e+2,-2.444902e+2
-2.630000e+2,-2.434909e+2
-2.620000e+2,-2.424904e+2
-2.610000e+2,-2.414926e+2
-2.600000e+2,-2.404910e+2
-2.590000e+2,-2.394912e+2
-2.580000e+2,-2.384905e+2
-2.570000e+2,-2.374892e+2
-2.560000e+2,-2.364898e+2
-2.550000e+2,-2.354904e+2
-2.540000e+2,-2.344891e+2
-2.530000e+2,-2.334890e+2
-2.520000e+2,-2.324889e+2
-2.510000e+2,-2.314892e+2
-2.500000e+2,-2.304891e+2
-2.490000e+2,-2.294889e+2
-2.480000e+2,-2.284890e+2
-2.470000e+2,-2.274888e+2
-2.460000e+2,-2.264891e+2
-2.450000e+2,-2.254887e+2
-2.440000e+2,-2.244889e+2
-2.430000e+2,-2.234888e+2
-2.420000e+2,-2.224891e+2
-2.410000e+2,-2.214887e+2
-2.400000e+2,-2.204889e+2
-2.390000e+2,-2.194892e+2
-2.380000e+2,-2.184891e+2
-2.370000e+2,-2.174893e+2
-2.360000e+2,-2.164892e+2
-2.350000e+2,-2.154892e+2
-2.340000e+2,-2.144891e+2
-2.330000e+2,-2.134892e+2
-2.320000e+2,-2.124892e+2
-2.310000e+2,-2.114891e+2
-2.300000e+2,-2.104891e+2
-2.290000e+2,-2.094892e+2
-2.280000e+2,-2.084891e+2
