.HEADER
..NAMES
,wf6
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-3.000000e+2,3.385425e-1
-2.990000e+2,5.944353e-1
-2.980000e+2,9.552980e-1
-2.970000e+2,1.017810e+0
-2.960000e+2,1.020378e+0
-2.950000e+2,1.089316e+0
-2.940000e+2,1.105021e+0
-2.930000e+2,1.063902e+0
-2.920000e+2,1.019339e+0
-2.910000e+2,9.866919e-1
-2.900000e+2,1.004293e+0
-2.890000e+2,9.835329e-1
-2.880000e+2,9.330413e-1
-2.870000e+2,9.136152e-1
-2.860000e+2,9.260207e-1
-2.850000e+2,9.493449e-1
-2.840000e+2,9.645731e-1
-2.830000e+2,9.787130e-1
-2.820000e+2,9.820808e-1
-2.810000e+2,9.779486e-1
-2.800000e+2,9.827876e-1
-2.790000e+2,9.890180e-1
-2.780000e+2,9.845083e-1
-2.770000e+2,9.858697e-1
-2.760000e+2,1.000694e+0
-2.750000e+2,1.008577e+0
-2.740000e+2,9.998733e-1
-2.730000e+2,9.947348e-1
-2.720000e+2,1.002390e+0
-2.710000e+2,9.983381e-1
-2.700000e+2,9.997404e-1
-2.690000e+2,1.006287e+0
-2.680000e+2,1.005341e+0
-2.670000e+2,1.002530e+0
-2.660000e+2,1.000547e+0
-2.650000e+2,1.000264e+0
-2.640000e+2,9.995319e-1
-2.630000e+2,9.999524e-1
-2.620000e+2,9.993199e-1
-2.610000e+2,9.996311e-1
-2.600000e+2,1.000635e+0
-2.590000e+2,1.000231e+0
-2.580000e+2,1.000883e+0
-2.570000e+2,1.000338e+0
-2.560000e+2,9.993722e-1
-2.550000e+2,1.000317e+0
-2.540000e+2,1.000634e+0
-2.530000e+2,1.000023e+0
-2.520000e+2,9.998969e-1
-2.510000e+2,9.999245e-1
-2.500000e+2,1.000141e+0
-2.490000e+2,1.000024e+0
-2.480000e+2,1.000019e+0
-2.470000e+2,9.999690e-1
-2.460000e+2,1.000054e+0
-2.450000e+2,1.000094e+0
-2.440000e+2,9.999722e-1
-2.430000e+2,9.999096e-1
-2.420000e+2,1.000025e+0
-2.410000e+2,1.000102e+0
-2.400000e+2,9.998107e-1
-2.390000e+2,9.998817e-1
-2.380000e+2,9.999369e-1
-2.370000e+2,9.999887e-1
-2.360000e+2,1.000052e+0
-2.350000e+2,1.000026e+0
-2.340000e+2,1.000007e+0
-2.330000e+2,9.999776e-1
-2.320000e+2,1.000036e+0
-2.310000e+2,1.000014e+0
-2.300000e+2,9.999376e-1
-2.290000e+2,9.999974e-1
-2.280000e+2,1.000054e+0
-2.270000e+2,9.999865e-1
-2.260000e+2,9.999823e-1
-2.250000e+2,1.000012e+0
-2.240000e+2,9.999998e-1
-2.230000e+2,1.000002e+0
-2.220000e+2,1.000010e+0
-2.210000e+2,9.999922e-1
-2.200000e+2,9.999871e-1
-2.190000e+2,1.000009e+0
-2.180000e+2,1.000000e+0
-2.170000e+2,9.999999e-1
-2.160000e+2,1.000002e+0
