
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Mar-2021,Creation_Time,14:59:56,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-4.000000e+1,-1.384647e+2
-3.950000e+1,-1.359311e+2
-3.900000e+1,-1.361256e+2
-3.850000e+1,-1.359400e+2
-3.800000e+1,-1.363755e+2
-3.750000e+1,-1.302706e+2
-3.700000e+1,-1.283597e+2
-3.650000e+1,-1.334005e+2
-3.600000e+1,-1.305239e+2
-3.550000e+1,-1.254637e+2
-3.500000e+1,-1.324151e+2
-3.450000e+1,-1.292994e+2
-3.400000e+1,-1.284093e+2
-3.350000e+1,-1.288846e+2
-3.300000e+1,-1.264984e+2
-3.250000e+1,-1.274354e+2
-3.200000e+1,-1.249339e+2
-3.150000e+1,-1.242897e+2
-3.100000e+1,-1.244908e+2
-3.050000e+1,-1.247866e+2
-3.000000e+1,-1.244212e+2
-2.950000e+1,-1.245836e+2
-2.900000e+1,-1.218240e+2
-2.850000e+1,-1.254313e+2
-2.800000e+1,-1.216788e+2
-2.750000e+1,-1.188926e+2
-2.700000e+1,-1.208424e+2
-2.650000e+1,-1.126028e+2
-2.600000e+1,-1.174453e+2
-2.550000e+1,-1.207111e+2
-2.500000e+1,-1.106912e+2
-2.450000e+1,-1.192207e+2
-2.400000e+1,-1.182308e+2
-2.350000e+1,-1.146133e+2
-2.300000e+1,-1.171918e+2
-2.250000e+1,-1.109533e+2
-2.200000e+1,-1.131626e+2
-2.150000e+1,-1.119819e+2
-2.100000e+1,-1.074210e+2
-2.050000e+1,-1.130571e+2
-2.000000e+1,-1.093741e+2
-1.950000e+1,-1.082653e+2
-1.900000e+1,-1.110517e+2
-1.850000e+1,-1.014531e+2
-1.800000e+1,-1.020669e+2
-1.750000e+1,-1.061855e+2
-1.700000e+1,-1.053604e+2
-1.650000e+1,-1.057070e+2
-1.600000e+1,-1.061323e+2
-1.550000e+1,-1.045725e+2
-1.500000e+1,-9.868450e+1
-1.450000e+1,-9.695916e+1
-1.400000e+1,-1.038100e+2
-1.350000e+1,-1.012881e+2
-1.300000e+1,-9.797505e+1
-1.250000e+1,-9.822816e+1
-1.200000e+1,-1.015659e+2
-1.150000e+1,-9.589956e+1
-1.100000e+1,-9.709559e+1
-1.050000e+1,-9.387970e+1
-1.000000e+1,-9.162558e+1
-9.500000e+0,-9.081040e+1
-9.000000e+0,-9.378202e+1
-8.500000e+0,-9.219195e+1
-8.000000e+0,-9.142065e+1
-7.500000e+0,-9.139149e+1
-7.000000e+0,-8.562277e+1
-6.500000e+0,-9.053016e+1
-6.000000e+0,-9.128908e+1
-5.500000e+0,-7.887172e+1
-5.000000e+0,-8.929697e+1
-4.500000e+0,-8.561404e+1
-4.000000e+0,-8.631025e+1
