
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-3.000000e+2,-2.844853e+2
-2.990000e+2,-2.762690e+2
-2.980000e+2,-2.748861e+2
-2.970000e+2,-2.739157e+2
-2.960000e+2,-2.745839e+2
-2.950000e+2,-2.735405e+2
-2.940000e+2,-2.780771e+2
-2.930000e+2,-2.767897e+2
-2.920000e+2,-2.755256e+2
-2.910000e+2,-2.738304e+2
-2.900000e+2,-2.721507e+2
-2.890000e+2,-2.695808e+2
-2.880000e+2,-2.621041e+2
-2.870000e+2,-2.672506e+2
-2.860000e+2,-2.679917e+2
-2.850000e+2,-2.677544e+2
-2.840000e+2,-2.662275e+2
-2.830000e+2,-2.641889e+2
-2.820000e+2,-2.628186e+2
-2.810000e+2,-2.611058e+2
-2.800000e+2,-2.591572e+2
-2.790000e+2,-2.574044e+2
-2.780000e+2,-2.550223e+2
-2.770000e+2,-2.548380e+2
-2.760000e+2,-2.527080e+2
-2.750000e+2,-2.491312e+2
-2.740000e+2,-2.414431e+2
-2.730000e+2,-2.421373e+2
-2.720000e+2,-2.404151e+2
-2.710000e+2,-2.376942e+2
-2.700000e+2,-2.404699e+2
-2.690000e+2,-2.348113e+2
-2.680000e+2,-2.366070e+2
-2.670000e+2,-2.381028e+2
-2.660000e+2,-2.331027e+2
-2.650000e+2,-2.320220e+2
-2.640000e+2,-2.284621e+2
-2.630000e+2,-2.266805e+2
-2.620000e+2,-2.230366e+2
-2.610000e+2,-2.234399e+2
-2.600000e+2,-2.234244e+2
-2.590000e+2,-2.244808e+2
-2.580000e+2,-2.210088e+2
-2.570000e+2,-2.121203e+2
-2.560000e+2,-2.136057e+2
-2.550000e+2,-2.177635e+2
-2.540000e+2,-2.093205e+2
-2.530000e+2,-2.088279e+2
-2.520000e+2,-2.097049e+2
-2.510000e+2,-2.104204e+2
-2.500000e+2,-2.064996e+2
-2.490000e+2,-2.082718e+2
-2.480000e+2,-2.012594e+2
-2.470000e+2,-2.015972e+2
-2.460000e+2,-2.020005e+2
-2.450000e+2,-2.011600e+2
-2.440000e+2,-1.981576e+2
-2.430000e+2,-1.970855e+2
-2.420000e+2,-1.895126e+2
-2.410000e+2,-1.891193e+2
-2.400000e+2,-1.931900e+2
-2.390000e+2,-1.923131e+2
-2.380000e+2,-1.917112e+2
-2.370000e+2,-1.909045e+2
-2.360000e+2,-1.885517e+2
-2.350000e+2,-1.831041e+2
-2.340000e+2,-1.755091e+2
-2.330000e+2,-1.818056e+2
-2.320000e+2,-1.778696e+2
-2.310000e+2,-1.796236e+2
-2.300000e+2,-1.714896e+2
-2.290000e+2,-1.760232e+2
-2.280000e+2,-1.765814e+2
