
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-4.000000e+1,-3.055544e+2
-3.950000e+1,-3.085038e+2
-3.900000e+1,-3.102880e+2
-3.850000e+1,-3.054680e+2
-3.800000e+1,-3.135741e+2
-3.750000e+1,-3.072170e+2
-3.700000e+1,-3.019055e+2
-3.650000e+1,-3.107032e+2
-3.600000e+1,-2.995413e+2
-3.550000e+1,-3.049993e+2
-3.500000e+1,-3.010342e+2
-3.450000e+1,-3.052170e+2
-3.400000e+1,-3.057078e+2
-3.350000e+1,-3.130674e+2
-3.300000e+1,-2.994671e+2
-3.250000e+1,-3.034129e+2
-3.200000e+1,-3.130504e+2
-3.150000e+1,-3.111717e+2
-3.100000e+1,-2.986742e+2
-3.050000e+1,-3.025697e+2
-3.000000e+1,-3.099099e+2
-2.950000e+1,-2.984364e+2
-2.900000e+1,-3.103899e+2
-2.850000e+1,-2.973956e+2
-2.800000e+1,-3.082171e+2
-2.750000e+1,-3.064086e+2
-2.700000e+1,-3.016988e+2
-2.650000e+1,-3.091381e+2
-2.600000e+1,-3.075267e+2
-2.550000e+1,-3.077986e+2
-2.500000e+1,-3.023032e+2
-2.450000e+1,-3.022714e+2
-2.400000e+1,-3.008428e+2
-2.350000e+1,-3.018390e+2
-2.300000e+1,-3.047833e+2
-2.250000e+1,-2.995093e+2
-2.200000e+1,-3.085553e+2
-2.150000e+1,-3.023192e+2
-2.100000e+1,-2.996730e+2
-2.050000e+1,-3.067323e+2
-2.000000e+1,-3.055359e+2
-1.950000e+1,-3.125360e+2
-1.900000e+1,-2.979464e+2
-1.850000e+1,-2.986368e+2
-1.800000e+1,-2.949460e+2
-1.750000e+1,-3.006699e+2
-1.700000e+1,-3.054217e+2
-1.650000e+1,-3.094902e+2
-1.600000e+1,-3.011348e+2
-1.550000e+1,-2.974020e+2
-1.500000e+1,-3.110340e+2
-1.450000e+1,-2.989987e+2
-1.400000e+1,-2.981958e+2
-1.350000e+1,-3.065863e+2
-1.300000e+1,-3.011432e+2
-1.250000e+1,-3.086737e+2
-1.200000e+1,-3.114209e+2
-1.150000e+1,-3.068376e+2
-1.100000e+1,-2.969236e+2
-1.050000e+1,-3.013564e+2
-1.000000e+1,-2.975324e+2
-9.500000e+0,-2.926304e+2
-9.000000e+0,-3.032484e+2
-8.500000e+0,-3.051709e+2
-8.000000e+0,-2.963879e+2
-7.500000e+0,-3.048012e+2
-7.000000e+0,-3.103729e+2
-6.500000e+0,-2.989938e+2
-6.000000e+0,-2.999128e+2
-5.500000e+0,-2.928805e+2
-5.000000e+0,-2.980631e+2
-4.500000e+0,-3.032580e+2
-4.000000e+0,-2.988937e+2
