
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-3.000000e+2,-3.108324e+2
-2.990000e+2,-3.247098e+2
-2.980000e+2,-3.246318e+2
-2.970000e+2,-3.235353e+2
-2.960000e+2,-3.191914e+2
-2.950000e+2,-3.182321e+2
-2.940000e+2,-3.060286e+2
-2.930000e+2,-3.055495e+2
-2.920000e+2,-3.050404e+2
-2.910000e+2,-3.054719e+2
-2.900000e+2,-3.058558e+2
-2.890000e+2,-3.079739e+2
-2.880000e+2,-3.199929e+2
-2.870000e+2,-3.068036e+2
-2.860000e+2,-3.024204e+2
-2.850000e+2,-2.999666e+2
-2.840000e+2,-3.000883e+2
-2.830000e+2,-3.012268e+2
-2.820000e+2,-3.009897e+2
-2.810000e+2,-3.014497e+2
-2.800000e+2,-3.023719e+2
-2.790000e+2,-3.028995e+2
-2.780000e+2,-3.046776e+2
-2.770000e+2,-3.020781e+2
-2.760000e+2,-3.033512e+2
-2.750000e+2,-3.074931e+2
-2.740000e+2,-3.198533e+2
-2.730000e+2,-3.154802e+2
-2.720000e+2,-3.159235e+2
-2.710000e+2,-3.183612e+2
-2.700000e+2,-3.098203e+2
-2.690000e+2,-3.181279e+2
-2.680000e+2,-3.115270e+2
-2.670000e+2,-3.055303e+2
-2.660000e+2,-3.125290e+2
-2.650000e+2,-3.116893e+2
-2.640000e+2,-3.158091e+2
-2.630000e+2,-3.163730e+2
-2.620000e+2,-3.206608e+2
-2.610000e+2,-3.168565e+2
-2.600000e+2,-3.138853e+2
-2.590000e+2,-3.087730e+2
-2.580000e+2,-3.127159e+2
-2.570000e+2,-3.274916e+2
-2.560000e+2,-3.215213e+2
-2.550000e+2,-3.102064e+2
-2.540000e+2,-3.240911e+2
-2.530000e+2,-3.220758e+2
-2.520000e+2,-3.173217e+2
-2.510000e+2,-3.128911e+2
-2.500000e+2,-3.177323e+2
-2.490000e+2,-3.111879e+2
-2.480000e+2,-3.222128e+2
-2.470000e+2,-3.185370e+2
-2.460000e+2,-3.147306e+2
-2.450000e+2,-3.134111e+2
-2.440000e+2,-3.164163e+2
-2.430000e+2,-3.155605e+2
-2.420000e+2,-3.277066e+2
-2.410000e+2,-3.254927e+2
-2.400000e+2,-3.143514e+2
-2.390000e+2,-3.131057e+2
-2.380000e+2,-3.113094e+2
-2.370000e+2,-3.099230e+2
-2.360000e+2,-3.116284e+2
-2.350000e+2,-3.195237e+2
-2.340000e+2,-3.317136e+2
-2.330000e+2,-3.161206e+2
-2.320000e+2,-3.209926e+2
-2.310000e+2,-3.144846e+2
-2.300000e+2,-3.277525e+2
-2.290000e+2,-3.156854e+2
-2.280000e+2,-3.115690e+2
