.HEADER
..NAMES
,wf7
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-3.000000e+2,-1.269968e+1
-2.990000e+2,-6.630952e+0
-2.980000e+2,5.901682e-1
-2.970000e+2,2.716121e+0
-2.960000e+2,2.646012e+0
-2.950000e+2,6.583650e+0
-2.940000e+2,6.367711e+0
-2.930000e+2,4.970612e-1
-2.920000e+2,3.909536e-2
-2.910000e+2,-4.103869e-1
-2.900000e+2,-1.253408e+0
-2.890000e+2,-7.081708e+0
-2.880000e+2,5.887238e-1
-2.870000e+2,8.831464e+0
-2.860000e+2,3.431747e+0
-2.850000e+2,1.173636e+0
-2.840000e+2,-6.363554e-1
-2.830000e+2,-4.538263e-1
-2.820000e+2,-1.118450e-1
-2.810000e+2,-6.928768e-1
-2.800000e+2,-7.264020e-1
-2.790000e+2,-1.155526e+0
-2.780000e+2,4.117100e-1
-2.770000e+2,6.650867e-1
-2.760000e+2,-2.708696e+0
-2.750000e+2,-8.236422e+0
-2.740000e+2,-3.993076e+0
-2.730000e+2,1.966083e+0
-2.720000e+2,-1.440363e+0
-2.710000e+2,3.053212e+0
-2.700000e+2,1.166936e-1
-2.690000e+2,-8.524103e-1
-2.680000e+2,6.294705e+0
-2.670000e+2,-5.008903e-1
-2.660000e+2,-3.078787e+0
-2.650000e+2,-1.639830e+0
-2.640000e+2,-2.341691e+0
-2.630000e+2,-2.426056e+0
-2.620000e+2,-2.418243e-1
-2.610000e+2,3.387414e+0
-2.600000e+2,4.041418e+0
-2.590000e+2,5.847290e-1
-2.580000e+2,-9.358197e+0
-2.570000e+2,-4.402596e+0
-2.560000e+2,8.642554e+0
-2.550000e+2,-1.284881e+0
-2.540000e+2,-5.934135e+0
-2.530000e+2,3.384477e+0
-2.520000e+2,4.592435e+0
-2.510000e+2,-2.053264e-1
-2.500000e+2,8.515935e-1
-2.490000e+2,-2.240282e+0
-2.480000e+2,-3.674552e+0
-2.470000e+2,3.741091e+0
-2.460000e+2,2.562914e+0
-2.450000e+2,-8.428430e-1
-2.440000e+2,-1.074752e+0
-2.430000e+2,-5.645096e+0
-2.420000e+2,-4.965972e+0
-2.410000e+2,6.677556e+0
-2.400000e+2,6.193744e+0
-2.390000e+2,1.521014e+0
-2.380000e+2,1.591329e+0
-2.370000e+2,-1.594850e-1
-2.360000e+2,-4.800325e+0
-2.350000e+2,-1.004256e+1
-2.340000e+2,1.701567e+0
-2.330000e+2,5.360544e+0
-2.320000e+2,8.179772e-1
-2.310000e+2,-3.379942e+0
-2.300000e+2,-6.004172e-1
-2.290000e+2,8.091709e+0
-2.280000e+2,1.562158e+0
-2.270000e+2,-1.615521e+0
-2.260000e+2,-3.795722e+0
-2.250000e+2,-5.084122e+0
-2.240000e+2,-2.728788e+0
-2.230000e+2,6.192251e+0
-2.220000e+2,7.198362e+0
-2.210000e+2,1.325229e+0
-2.200000e+2,-4.617475e+0
-2.190000e+2,-4.711824e+0
