
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,07:29:46,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-5.911283e+1
-5.400000e+1,-5.809755e+1
-5.300000e+1,-5.710078e+1
-5.200000e+1,-5.610950e+1
-5.100000e+1,-5.510685e+1
-5.000000e+1,-5.410761e+1
-4.900000e+1,-5.310525e+1
-4.800000e+1,-5.210961e+1
-4.700000e+1,-5.110984e+1
-4.600000e+1,-5.010585e+1
-4.500000e+1,-4.910927e+1
-4.400000e+1,-4.810867e+1
-4.300000e+1,-4.710906e+1
-4.200000e+1,-4.611097e+1
-4.100000e+1,-4.511142e+1
-4.000000e+1,-4.411147e+1
-3.900000e+1,-4.311156e+1
-3.800000e+1,-4.211151e+1
-3.700000e+1,-4.111138e+1
-3.600000e+1,-4.011114e+1
-3.500000e+1,-3.911080e+1
-3.400000e+1,-3.811035e+1
-3.300000e+1,-3.710976e+1
-3.200000e+1,-3.610897e+1
-3.100000e+1,-3.510799e+1
-3.000000e+1,-3.410721e+1
-2.900000e+1,-3.310547e+1
-2.800000e+1,-3.210362e+1
-2.700000e+1,-3.110194e+1
-2.600000e+1,-3.009916e+1
-2.500000e+1,-2.909617e+1
-2.400000e+1,-2.809180e+1
-2.300000e+1,-2.708637e+1
-2.200000e+1,-2.607884e+1
-2.100000e+1,-2.506863e+1
-2.000000e+1,-2.405418e+1
-1.900000e+1,-2.303404e+1
-1.800000e+1,-2.200607e+1
-1.700000e+1,-2.096832e+1
-1.600000e+1,-1.991898e+1
-1.500000e+1,-1.885779e+1
-1.400000e+1,-1.778858e+1
-1.300000e+1,-1.672049e+1
-1.200000e+1,-1.566521e+1
-1.100000e+1,-1.463153e+1
-1.000000e+1,-1.362314e+1

