
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,08:03:41,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-5.911261e+1
-5.400000e+1,-5.811250e+1
-5.300000e+1,-5.711241e+1
-5.200000e+1,-5.611251e+1
-5.100000e+1,-5.511241e+1
-5.000000e+1,-5.411246e+1
-4.900000e+1,-5.311249e+1
-4.800000e+1,-5.211247e+1
-4.700000e+1,-5.111237e+1
-4.600000e+1,-5.011233e+1
-4.500000e+1,-4.911227e+1
-4.400000e+1,-4.811221e+1
-4.300000e+1,-4.711215e+1
-4.200000e+1,-4.611208e+1
-4.100000e+1,-4.511199e+1
-4.000000e+1,-4.411189e+1
-3.900000e+1,-4.311176e+1
-3.800000e+1,-4.211158e+1
-3.700000e+1,-4.111137e+1
-3.600000e+1,-4.011111e+1
-3.500000e+1,-3.911078e+1
-3.400000e+1,-3.811037e+1
-3.300000e+1,-3.710982e+1
-3.200000e+1,-3.610913e+1
-3.100000e+1,-3.510825e+1
-3.000000e+1,-3.410715e+1
-2.900000e+1,-3.310575e+1
-2.800000e+1,-3.210399e+1
-2.700000e+1,-3.110178e+1
-2.600000e+1,-3.009901e+1
-2.500000e+1,-2.909550e+1
-2.400000e+1,-2.809103e+1
-2.300000e+1,-2.708526e+1
-2.200000e+1,-2.607766e+1
-2.100000e+1,-2.506730e+1
-2.000000e+1,-2.405284e+1
-1.900000e+1,-2.303267e+1
-1.800000e+1,-2.200486e+1
-1.700000e+1,-2.096723e+1
-1.600000e+1,-1.991794e+1
-1.500000e+1,-1.885682e+1
-1.400000e+1,-1.778774e+1
-1.300000e+1,-1.671989e+1
-1.200000e+1,-1.566467e+1
-1.100000e+1,-1.463096e+1
-1.000000e+1,-1.362288e+1

