
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,08:18:02,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_if
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-5.137995e+1
-5.400000e+1,-5.038107e+1
-5.300000e+1,-4.938129e+1
-5.200000e+1,-4.838049e+1
-5.100000e+1,-4.738104e+1
-5.000000e+1,-4.637960e+1
-4.900000e+1,-4.537857e+1
-4.800000e+1,-4.437881e+1
-4.700000e+1,-4.338052e+1
-4.600000e+1,-4.238334e+1
-4.500000e+1,-4.138519e+1
-4.400000e+1,-4.038786e+1
-4.300000e+1,-3.939332e+1
-4.200000e+1,-3.839800e+1
-4.100000e+1,-3.740407e+1
-4.000000e+1,-3.641194e+1
-3.900000e+1,-3.542213e+1
-3.800000e+1,-3.443531e+1
-3.700000e+1,-3.345243e+1
-3.600000e+1,-3.247496e+1
-3.500000e+1,-3.150351e+1
-3.400000e+1,-3.053890e+1
-3.300000e+1,-2.958122e+1
-3.200000e+1,-2.863121e+1
-3.100000e+1,-2.769610e+1
-3.000000e+1,-2.676189e+1
-2.900000e+1,-2.584291e+1
-2.800000e+1,-2.492935e+1
-2.700000e+1,-2.402175e+1
-2.600000e+1,-2.311027e+1
-2.500000e+1,-2.220495e+1
-2.400000e+1,-2.128870e+1
-2.300000e+1,-2.036774e+1
-2.200000e+1,-1.945604e+1
-2.100000e+1,-1.856950e+1
-2.000000e+1,-1.771812e+1
-1.900000e+1,-1.690946e+1
-1.800000e+1,-1.615254e+1
-1.700000e+1,-1.545941e+1
-1.600000e+1,-1.484300e+1
-1.500000e+1,-1.431806e+1
-1.400000e+1,-1.390452e+1
-1.300000e+1,-1.360785e+1
-1.200000e+1,-1.340234e+1
-1.100000e+1,-1.325334e+1
-1.000000e+1,-1.313500e+1

