
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,07:29:46,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-2.656446e+1
-5.400000e+1,-2.131963e+1
-5.300000e+1,-1.757985e+1
-5.200000e+1,-1.646791e+1
-5.100000e+1,-1.463937e+1
-5.000000e+1,-1.314991e+1
-4.900000e+1,-1.135141e+1
-4.800000e+1,-9.205472e+0
-4.700000e+1,-6.792663e+0
-4.600000e+1,-4.363097e+0
-4.500000e+1,-1.064185e+0
-4.400000e+1,-2.315976e-1
-4.300000e+1,5.853339e+0
-4.200000e+1,1.626839e+0

