
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,08:03:41,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im2
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-1.211827e+2
-5.400000e+1,-1.215418e+2
-5.300000e+1,-1.219815e+2
-5.200000e+1,-1.224587e+2
-5.100000e+1,-1.229174e+2
-5.000000e+1,-1.232848e+2
-4.900000e+1,-1.234243e+2
-4.800000e+1,-1.230500e+2
-4.700000e+1,-1.219520e+2
-4.600000e+1,-1.203217e+2
-4.500000e+1,-1.183591e+2
-4.400000e+1,-1.162593e+2
-4.300000e+1,-1.140805e+2
-4.200000e+1,-1.118470e+2
-4.100000e+1,-1.095874e+2
-4.000000e+1,-1.072820e+2
-3.900000e+1,-1.049110e+2
-3.800000e+1,-1.025232e+2
-3.700000e+1,-1.005491e+2
-3.600000e+1,-9.858349e+1
-3.500000e+1,-9.623910e+1
-3.400000e+1,-9.360641e+1
-3.300000e+1,-9.074640e+1
-3.200000e+1,-8.774158e+1
-3.100000e+1,-8.459501e+1
-3.000000e+1,-8.134466e+1
-2.900000e+1,-7.802460e+1
-2.800000e+1,-7.464952e+1
-2.700000e+1,-7.123220e+1
-2.600000e+1,-6.780581e+1
-2.500000e+1,-6.441768e+1
-2.400000e+1,-6.109728e+1
-2.300000e+1,-5.791773e+1
-2.200000e+1,-5.492147e+1
-2.100000e+1,-5.219701e+1
-2.000000e+1,-4.982865e+1
-1.900000e+1,-4.792817e+1
-1.800000e+1,-4.665307e+1
-1.700000e+1,-4.631441e+1
-1.600000e+1,-4.773121e+1
-1.500000e+1,-5.484521e+1
-1.400000e+1,-5.105714e+1
-1.300000e+1,-3.981325e+1
-1.200000e+1,-3.379610e+1
-1.100000e+1,-2.965703e+1
-1.000000e+1,-2.656536e+1

