
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:09:52,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.000000e+1,-5.000000e+1
-4.975000e+1,-4.975000e+1
-4.950000e+1,-4.950000e+1
-4.925000e+1,-4.925000e+1
-4.900000e+1,-4.900000e+1
-4.875000e+1,-4.875000e+1
-4.850000e+1,-4.850000e+1
-4.825000e+1,-4.825000e+1
-4.800000e+1,-4.800000e+1
-4.775000e+1,-4.775000e+1
-4.750000e+1,-4.750000e+1
-4.725000e+1,-4.725000e+1
-4.700000e+1,-4.700000e+1
-4.675000e+1,-4.675000e+1
-4.650000e+1,-4.650000e+1
-4.625000e+1,-4.625000e+1
-4.600000e+1,-4.600000e+1
-4.575000e+1,-4.575000e+1
-4.550000e+1,-4.550000e+1
-4.525000e+1,-4.525000e+1
-4.500000e+1,-4.500000e+1
-4.475000e+1,-4.475000e+1
-4.450000e+1,-4.450000e+1
-4.425000e+1,-4.425000e+1
-4.400000e+1,-4.400000e+1
-4.375000e+1,-4.375000e+1
-4.350000e+1,-4.350000e+1
-4.325000e+1,-4.325000e+1
-4.300000e+1,-4.300000e+1
-4.275000e+1,-4.275000e+1
-4.250000e+1,-4.250000e+1
-4.225000e+1,-4.225000e+1
-4.200000e+1,-4.200000e+1
-4.175000e+1,-4.175000e+1
-4.150000e+1,-4.150000e+1
-4.125000e+1,-4.125000e+1
-4.100000e+1,-4.100000e+1
-4.075000e+1,-4.075000e+1
-4.050000e+1,-4.050000e+1
-4.025000e+1,-4.025000e+1
-4.000000e+1,-4.000000e+1
-3.975000e+1,-3.975000e+1
-3.950000e+1,-3.950000e+1
-3.925000e+1,-3.925000e+1
-3.900000e+1,-3.900000e+1
-3.875000e+1,-3.875000e+1
-3.850000e+1,-3.850000e+1
-3.825000e+1,-3.825000e+1
-3.800000e+1,-3.800000e+1
-3.775000e+1,-3.775000e+1
-3.750000e+1,-3.750000e+1
-3.725000e+1,-3.725000e+1
-3.700000e+1,-3.700000e+1
-3.675000e+1,-3.675000e+1
-3.650000e+1,-3.650000e+1
-3.625000e+1,-3.625000e+1
-3.600000e+1,-3.600000e+1
-3.575000e+1,-3.575000e+1
-3.550000e+1,-3.550000e+1
-3.525000e+1,-3.525000e+1
-3.500000e+1,-3.500000e+1
-3.475000e+1,-3.475000e+1
-3.450000e+1,-3.450000e+1
-3.425000e+1,-3.425000e+1
-3.400000e+1,-3.400000e+1
-3.375000e+1,-3.375000e+1
-3.350000e+1,-3.350000e+1
-3.325000e+1,-3.325000e+1
-3.300000e+1,-3.300000e+1
-3.275000e+1,-3.275000e+1
-3.250000e+1,-3.250000e+1
-3.225000e+1,-3.225000e+1
-3.200000e+1,-3.200000e+1
