
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:09:52,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.000000e+1,-7.008802e+1
-4.975000e+1,-6.983802e+1
-4.950000e+1,-6.958802e+1
-4.925000e+1,-6.933802e+1
-4.900000e+1,-6.908802e+1
-4.875000e+1,-6.883802e+1
-4.850000e+1,-6.858802e+1
-4.825000e+1,-6.833802e+1
-4.800000e+1,-6.808802e+1
-4.775000e+1,-6.783802e+1
-4.750000e+1,-6.758802e+1
-4.725000e+1,-6.733802e+1
-4.700000e+1,-6.708802e+1
-4.675000e+1,-6.683802e+1
-4.650000e+1,-6.658802e+1
-4.625000e+1,-6.633802e+1
-4.600000e+1,-6.608802e+1
-4.575000e+1,-6.583802e+1
-4.550000e+1,-6.558802e+1
-4.525000e+1,-6.533802e+1
-4.500000e+1,-6.508802e+1
-4.475000e+1,-6.483802e+1
-4.450000e+1,-6.458802e+1
-4.425000e+1,-6.433802e+1
-4.400000e+1,-6.408802e+1
-4.375000e+1,-6.383802e+1
-4.350000e+1,-6.358802e+1
-4.325000e+1,-6.333802e+1
-4.300000e+1,-6.308802e+1
-4.275000e+1,-6.283802e+1
-4.250000e+1,-6.258802e+1
-4.225000e+1,-6.233802e+1
-4.200000e+1,-6.208802e+1
-4.175000e+1,-6.183802e+1
-4.150000e+1,-6.158802e+1
-4.125000e+1,-6.133802e+1
-4.100000e+1,-6.108802e+1
-4.075000e+1,-6.083802e+1
-4.050000e+1,-6.058802e+1
-4.025000e+1,-6.033802e+1
-4.000000e+1,-6.008802e+1
-3.975000e+1,-5.983802e+1
-3.950000e+1,-5.958802e+1
-3.925000e+1,-5.933802e+1
-3.900000e+1,-5.908802e+1
-3.875000e+1,-5.883802e+1
-3.850000e+1,-5.858802e+1
-3.825000e+1,-5.833802e+1
-3.800000e+1,-5.808802e+1
-3.775000e+1,-5.783802e+1
-3.750000e+1,-5.758802e+1
-3.725000e+1,-5.733802e+1
-3.700000e+1,-5.708802e+1
-3.675000e+1,-5.683802e+1
-3.650000e+1,-5.658802e+1
-3.625000e+1,-5.633802e+1
-3.600000e+1,-5.608802e+1
-3.575000e+1,-5.583802e+1
-3.550000e+1,-5.558802e+1
-3.525000e+1,-5.533802e+1
-3.500000e+1,-5.508802e+1
-3.475000e+1,-5.483802e+1
-3.450000e+1,-5.458802e+1
-3.425000e+1,-5.433802e+1
-3.400000e+1,-5.408802e+1
-3.375000e+1,-5.383802e+1
-3.350000e+1,-5.358802e+1
-3.325000e+1,-5.333802e+1
-3.300000e+1,-5.308802e+1
-3.275000e+1,-5.283802e+1
-3.250000e+1,-5.258802e+1
-3.225000e+1,-5.233802e+1
-3.200000e+1,-5.208802e+1
