
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:13:14,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.000000e+1,-7.053487e+1
-4.975000e+1,-7.028487e+1
-4.950000e+1,-7.003487e+1
-4.925000e+1,-6.978487e+1
-4.900000e+1,-6.953487e+1
-4.875000e+1,-6.928487e+1
-4.850000e+1,-6.903487e+1
-4.825000e+1,-6.878487e+1
-4.800000e+1,-6.853487e+1
-4.775000e+1,-6.828487e+1
-4.750000e+1,-6.803487e+1
-4.725000e+1,-6.778487e+1
-4.700000e+1,-6.753487e+1
-4.675000e+1,-6.728487e+1
-4.650000e+1,-6.703487e+1
-4.625000e+1,-6.678487e+1
-4.600000e+1,-6.653487e+1
-4.575000e+1,-6.628487e+1
-4.550000e+1,-6.603487e+1
-4.525000e+1,-6.578487e+1
-4.500000e+1,-6.553487e+1
-4.475000e+1,-6.528487e+1
-4.450000e+1,-6.503487e+1
-4.425000e+1,-6.478487e+1
-4.400000e+1,-6.453487e+1
-4.375000e+1,-6.428487e+1
-4.350000e+1,-6.403487e+1
-4.325000e+1,-6.378487e+1
-4.300000e+1,-6.353487e+1
-4.275000e+1,-6.328487e+1
-4.250000e+1,-6.303487e+1
-4.225000e+1,-6.278487e+1
-4.200000e+1,-6.253487e+1
-4.175000e+1,-6.228487e+1
-4.150000e+1,-6.203487e+1
-4.125000e+1,-6.178487e+1
-4.100000e+1,-6.153487e+1
-4.075000e+1,-6.128487e+1
-4.050000e+1,-6.103487e+1
-4.025000e+1,-6.078487e+1
-4.000000e+1,-6.053487e+1
-3.975000e+1,-6.028487e+1
-3.950000e+1,-6.003487e+1
-3.925000e+1,-5.978487e+1
-3.900000e+1,-5.953487e+1
-3.875000e+1,-5.928487e+1
-3.850000e+1,-5.903487e+1
-3.825000e+1,-5.878487e+1
-3.800000e+1,-5.853487e+1
-3.775000e+1,-5.828487e+1
-3.750000e+1,-5.803487e+1
-3.725000e+1,-5.778487e+1
-3.700000e+1,-5.753487e+1
-3.675000e+1,-5.728487e+1
-3.650000e+1,-5.703487e+1
-3.625000e+1,-5.678487e+1
-3.600000e+1,-5.653487e+1
-3.575000e+1,-5.628487e+1
-3.550000e+1,-5.603487e+1
-3.525000e+1,-5.578487e+1
-3.500000e+1,-5.553487e+1
-3.475000e+1,-5.528487e+1
-3.450000e+1,-5.503487e+1
-3.425000e+1,-5.478487e+1
-3.400000e+1,-5.453487e+1
-3.375000e+1,-5.428487e+1
-3.350000e+1,-5.403487e+1
-3.325000e+1,-5.378487e+1
-3.300000e+1,-5.353487e+1
-3.275000e+1,-5.328487e+1
-3.250000e+1,-5.303487e+1
-3.225000e+1,-5.278487e+1
-3.200000e+1,-5.253487e+1
